Mandat,Sous-mandat,X,Y,Commune,Remarque,Info,Type 1,Type 2,Type 3
302,_00001,2590443,1119333,Sion,,,na,na,na
304,_00002,2534578,1154572,Renens (VD),,,na,na,na
307,_00003,2593854,1120239,Sion,,,na,na,na
308,_00004,2534497,1152365,Saint-Sulpice (VD),,,na,na,na
319,_00005,2570657,1106956,Martigny,,,na,na,na
320,_01397,,,na,,,na,na,na
321,_01398,,,na,,,na,na,na
322,_00006,2564159,1102320,Trient,,,na,na,na
323,_00007,2539538,1151582,Pully,,,na,na,na
330,_00008,2596748,1123379,Ayent,,,na,na,na
348,_00009,2614895,1131174,Albinen,,,na,na,na
357,_00010,2540144,1154296,Lausanne,,,na,na,na
361,_00011,2540138,1154290,Lausanne,,,na,na,na
373,_00012,2603869,1135422,Crans-Montana,,,na,na,na
374,_00013,2563830,1102011,Trient,,,na,na,na
375,_00014,2570671,1106937,Martigny,,,na,na,na
384,_00015,2563835,1102016,Trient,,,na,na,na
415,_00016,2563835,1102010,Trient,,,na,na,na
423,_00017,2583149,1109650,Riddes,,,na,na,na
439,_00018,2538467,1153896,Lausanne,,,na,na,na
450,_00019,2553626,1137350,St-Gingolph,,,na,na,na
455,_00020,2541526,1150819,Lutry,,,na,na,na
466,_00021,2569883,1108700,Martigny,,,na,na,na
468,_00022,2597873,1123874,Ayent,,,na,na,na
470,_00023,2590823,1118771,Sion,,,na,na,na
475,_00024,2594810,1120532,Sion,,,na,na,na
496,_00025,2540141,1154289,Lausanne,,,na,na,na
497,_00026,2594482,1120308,Sion,,,na,na,na
501,_00027,2558646,1120582,Troistorrents,,,na,na,na
507,_00028,2587685,1123819,Conthey,,,na,na,na
513,_00029,2598515,1122749,St-Léonard,,,na,na,na
519,_00030,2594169,1120010,Sion,,,na,na,na
522,_00031,2541417,1151756,Belmont-sur-Lausanne,,,na,na,na
537,_00032,2583755,1104589,Val de Bagnes,,,na,na,na
552,_00033,2625460,1095774,Zermatt,,,na,na,na
561,_00034,2598427,1121074,Sion,,,na,na,na
569,_00035,2541530,1150817,Lutry,,,na,na,na
574,_00036,2529898,1162151,Penthalaz,,,na,na,na
577,_00037,2529901,1162147,Penthalaz,,,na,na,na
578,_00038,2569890,1108706,Martigny,,,na,na,na
587,_00039,2607174,1127109,Sierre,,,na,na,na
591,_00040,2561167,1138410,Villeneuve (VD),,,na,na,na
594,_00041,2565097,1206906,na,,,na,na,na
596,_00042,2541537,1161994,Froideville,,,na,na,na
600,_00043,2604553,1129048,Crans-Montana,,,na,na,na
603,_00044,2566499,1191564,na,,,na,na,na
603,_00045,2566183,1191957,na,,,na,na,na
605,_00046,2563245,1122566,Monthey,,,na,na,na
608,_00047,2603027,1131510,Lens,,,na,na,na
616,_00048,2606695,1131245,Crans-Montana,,,na,na,na
628,_00049,2586986,1118879,Vétroz,,,na,na,na
630,_00050,2603852,1135422,Crans-Montana,,,na,na,na
631,_00051,2582131,1099991,Val de Bagnes,,,na,na,na
634,_00052,2562409,1152465,na,,,na,na,na
640,_00053,2503221,1140551,Gingins,,,na,na,na
643,_00054,2594372,1120967,Sion,,,na,na,na
649,_00055,2605352,1125382,Sierre,,,na,na,na
650,_00056,2593631,1119705,Sion,,,na,na,na
659,_00057,2586237,1185423,na,,,na,na,na
665,_00058,2590589,1109231,Nendaz,,,na,na,na
667,_00059,2555137,1145306,Vevey,,,na,na,na
669,_00060,2588549,1115052,Nendaz,,,na,na,na
672,_00061,2633654,1120594,Stalden,,,na,na,na
673,_00062,2560964,1141782,Montreux,,,na,na,na
677,_00063,2588552,1115049,Nendaz,,,na,na,na
681,_00064,2529878,1161924,Penthalaz,,,na,na,na
690,_00065,2535859,1153759,Prilly,,,na,na,na
693,_00066,2588655,1114382,Nendaz,,,na,na,na
694,_00067,2578587,1116853,Leytron,,,na,na,na
696,_00068,2511774,1146009,Gilly,,,na,na,na
698,_00069,2583607,1105664,Val de Bagnes,,,na,na,na
703,_00070,2642454,1130576,Naters,,,na,na,na
706,_00071,2593597,1120675,Sion,,,na,na,na
708,_00072,2592463,1114783,Nendaz,,,na,na,na
709,_00073,2542236,1151219,Lutry,,,na,na,na
714,_00074,2561088,1133813,Roche (VD),,,na,na,na
720,_00075,2576175,1146960,Château-d'Oex,,,na,na,na
724,_00076,2597266,1126957,Ayent,,,Géotechnique,na,na
727,_00077,2535037,1153245,Renens (VD),,,na,na,na
728,_00078,2560739,1141412,Montreux,,,na,na,na
731,_00079,2585768,1117357,Ardon,,,na,na,na
734,_00080,2610986,1119076,Anniviers,,,na,na,na
742,_00081,2602756,1124086,Sierre,,,na,na,na
1002,_00082,2541532,1150815,Lutry,,Emplacement à vérifier ,na,na,na
1004,_00083,2592463,1114776,Nendaz,,,Géotechnique,na,na
1021,_00084,2560739,1141412,Montreux,,,Géotechnique,na,na
1025,_00085,2594087,1119995,Sion,,,Géotechnique,na,na
1030,_00086,2601967,1128558,Lens,,Emplacement à vérifier ,na,na,na
1031,_00087,2606428,1129526,Crans-Montana,,Emplacement à vérifier ,Hydrogéologie,na,na
1034,_00088,2601957,1128555,Lens,,,Géotechnique,na,na
1035,_00089,2516332,1148208,Bougy-Villars,,Emplacement à vérifier ,Géotechnique,na,na
1036,_00090,2593697,1119881,Sion,,Emplacement à vérifier ,na,na,na
1040,_00091,2575997,1108427,Martigny,,Emplacement à vérifier ,na,na,na
1064,_00092,2593883,1119454,Sion,,Emplacement à vérifier ,Géotechnique,na,na
1107,_00093,2606989,1126679,Sierre,,,Géotechnique,na,na
1148,_00094,2593848,1119415,Sion,,,Géotechnique,na,na
1236,_00095,2568944,1109872,Vernayaz,,,Géotechnique,na,na
1460,_00096,2569425,1109134,Vernayaz,,,Géotechnique,na,na
1711,_00097,2591970,1118383,Sion,,,Géotechnique,na,na
1797,_00098,2599900,1126071,Icogne,,Emplacement à vérifier ,Géotechnique,na,na
2011,_00099,2589519,1118275,Conthey,,,Géotechnique,na,na
2012,_00100,2595999,1113400,Hérémence,,,Géotechnique,na,na
2012,_00101,2597099,1113000,Hérémence,,,Géotechnique,na,na
2016,_00102,2593219,1120460,Sion,,,Géotechnique,na,na
